regionID,parcel_name,FAT_left,AF_left,PTAT_left,MdLF_left,SLF_III_left,SLF_II_left,SLF_I_left,C_FP_left,C_R_left,C_FPH_left,C_PHP_left,C_PH_left,ILF_left,IFOF_left,UF_left,VOF_left,CST_left,CBT_left,CStr_A_left,CStr_P_left,CStr_S_left,CTh_A_left,CTh_P_left,CTh_S_left,OR_left,F_left,LR,FAT_right,AF_right,PTAT_right,MdLF_right,SLF_III_right,SLF_II_right,SLF_I_right,C_FP_right,C_R_right,C_FPH_right,C_PHP_right,C_PH_right,ILF_right,IFOF_right,UF_right,VOF_right,CST_right,CBT_right,CStr_A_right,CStr_P_right,CStr_S_right,CTh_A_right,CTh_P_right,CTh_S_right,OR_right,F_right,regionLongName,regionIdLabel,region,cortex
1,L_V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0300469483568075,0.0309859154929577,0.105164319248826,0.99906103286385,1.0,0.0,0.347417840375587,0.0,0.0,0.0,0.993427230046948,0.0,0.0,0.00375586854460094,0.0,1.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary_Visual_Cortex_L,1_L,V1,Primary_Visual
2,L_MST,0.0,0.289201877934272,0.931455399061033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0647887323943662,0.0,0.0,0.267605633802817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Medial_Superior_Temporal_Area_L,2_L,MST,MT+_Complex_and_Neighboring_Visual_Areas
3,L_V6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466666666666667,0.0,0.982159624413146,0.95868544600939,0.0,0.617840375586855,0.0,0.0,0.0,0.547417840375587,0.0,0.0,0.994366197183099,0.0,0.000938967136150235,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Sixth_Visual_Area_L,3_L,V6,Dorsal_Stream_Visual
4,L_V2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.889201877934272,0.965258215962441,0.95962441314554,1.0,1.0,0.0,0.848826291079812,0.0,0.0,0.0,0.981220657276995,0.0,0.0,0.123943661971831,0.0,0.99906103286385,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Second_Visual_Area_L,4_L,V2,Early_Visual
5,L_V3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.507981220657277,0.0,1.0,1.0,0.0,0.988732394366197,0.0,0.0,0.0,0.916431924882629,0.0,0.0,0.949295774647887,0.0,0.971830985915493,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Third_Visual_Area_L,5_L,V3,Early_Visual
6,L_V4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.984037558685446,0.0,1.0,0.0,0.0,0.0,0.714553990610329,0.0,0.0,0.313615023474178,0.0,0.624413145539906,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Fourth_Visual_Area_L,6_L,V4,Early_Visual
7,L_V8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.900469483568075,0.538028169014085,0.0,0.664788732394366,0.0,0.0,0.0,0.00563380281690141,0.0,0.0,0.0,0.0,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Eighth_Visual_Area_L,7_L,V8,Ventral_Stream_Visual
8,L_4,0.824413145539906,0.953990610328639,0.0,0.0,0.992488262910798,1.0,0.427230046948357,0.00657276995305164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.884028484231943,0.0,0.0,1.0,0.0,0.0028169014084507,0.9981220657277,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary_Motor_Cortex_L,8_L,4,Somatosensory_and_Motor
9,L_3b,0.144600938967136,0.607511737089202,0.0,0.0,0.955868544600939,1.0,0.0469483568075117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977464788732394,0.228891149542218,0.0,0.00375586854460094,0.9981220657277,0.0,0.0262910798122066,0.951173708920188,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary_Sensory_Cortex_L,9_L,3b,Somatosensory_and_Motor
10,L_FEF,0.508920187793427,0.0112676056338028,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.248826291079812,0.0,0.0,0.0,0.898591549295775,0.0,0.0,0.432863849765258,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Frontal_Eye_Fields_L,10_L,FEF,Premotor
11,L_PEF,0.862910798122066,0.692957746478873,0.0,0.0,0.509859154929578,0.978403755868545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303153611393693,0.0,0.0,0.341784037558685,0.0,0.0,0.387793427230047,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Premotor_Eye_Field_L,11_L,PEF,Premotor
